Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance
2023-05-11,Sales,Travel,North,126096,43048,Card,TXN100000,-83048
2023-11-11,Marketing,Salaries,East,19702,87896,Bank Transfer,TXN100001,68194
2021-05-02,IT,Training,Central,108523,103632,Card,TXN100002,-4891
2022-04-12,Marketing,Salaries,North,114711,105574,Cash,TXN100003,-9137
2021-11-27,Sales,Utilities,Central,121895,64314,UPI,TXN100004,-57581
2021-03-29,Finance,Marketing,East,37762,77044,Bank Transfer,TXN100005,39282
2023-05-22,IT,Marketing,West,144311,69127,UPI,TXN100006,-75184
2021-05-11,HR,Marketing,Central,22567,53015,Cash,TXN100007,30448
2023-02-09,IT,Infrastructure,West,95737,58734,UPI,TXN100008,-37003
2021-12-10,IT,Salaries,East,16857,153432,Cash,TXN100009,136575
2023-03-17,IT,Utilities,East,75603,73056,Bank Transfer,TXN100010,-2547
2022-01-21,Finance,Utilities,Central,85399,109122,Cash,TXN100011,23723
2023-08-14,Sales,Marketing,Central,68086,70502,Bank Transfer,TXN100012,2416
2021-10-04,HR,Training,East,99145,51102,UPI,TXN100013,-48043
2022-04-05,Sales,Infrastructure,Central,42270,148677,Cash,TXN100014,106407
2021-01-22,Marketing,Infrastructure,Central,130071,79899,Card,TXN100015,-50172
2021-09-10,Marketing,Marketing,Central,12012,99017,Card,TXN100016,87005
2023-01-18,Marketing,Marketing,Central,69049,120109,Card,TXN100017,51060
2023-05-07,Sales,Salaries,North,94989,30133,Bank Transfer,TXN100018,-64856
2022-04-20,Operations,Training,East,99586,30720,Cash,TXN100019,-68866
2023-12-19,Finance,Infrastructure,East,49080,167039,Card,TXN100020,117959
2022-05-26,Operations,Utilities,South,66879,149486,Bank Transfer,TXN100021,82607
2022-12-01,Marketing,Marketing,West,75888,11379,Card,TXN100022,-64509
2023-09-03,Finance,Salaries,South,125951,142223,UPI,TXN100023,16272
2021-07-09,Sales,Utilities,Central,47146,62758,UPI,TXN100024,15612
2023-08-16,Marketing,Infrastructure,Central,126293,82140,UPI,TXN100025,-44153
2022-11-18,Sales,Marketing,North,103948,76187,Card,TXN100026,-27761
2023-08-16,Finance,Training,North,46166,24308,Bank Transfer,TXN100027,-21858
2022-07-17,Sales,Marketing,North,129239,163833,Card,TXN100028,34594
2023-04-12,Sales,Training,North,144078,83304,Bank Transfer,TXN100029,-60774
2022-10-09,HR,Salaries,North,142076,142230,Card,TXN100030,154
2021-01-21,Operations,Salaries,North,147039,162847,Bank Transfer,TXN100031,15808
2023-04-21,Operations,Infrastructure,North,28879,154557,Card,TXN100032,125678
2021-06-16,Operations,Training,North,12261,123857,Cash,TXN100033,111596
2022-01-23,IT,Marketing,North,42323,118946,Cash,TXN100034,76623
2022-08-24,HR,Salaries,East,45864,130300,Bank Transfer,TXN100035,84436
2021-11-12,Marketing,Marketing,North,17927,121002,UPI,TXN100036,103075
2021-01-14,Marketing,Infrastructure,West,92256,104791,UPI,TXN100037,12535
2021-08-30,Marketing,Training,North,94903,29787,UPI,TXN100038,-65116
2023-02-16,Operations,Marketing,Central,131686,136324,Bank Transfer,TXN100039,4638
2022-07-19,Operations,Utilities,Central,64150,56793,Cash,TXN100040,-7357
2023-06-17,HR,Marketing,North,117167,15153,Bank Transfer,TXN100041,-102014
2021-04-02,Sales,Travel,North,23056,63766,Card,TXN100042,40710
2023-08-14,Operations,Travel,Central,20798,13931,Card,TXN100043,-6867
2022-05-24,Marketing,Infrastructure,West,116491,35040,Card,TXN100044,-81451
2023-02-15,Sales,Infrastructure,South,61747,122329,Card,TXN100045,60582
2021-02-04,Operations,Infrastructure,East,45738,156344,Card,TXN100046,110606
2021-07-25,Finance,Utilities,Central,27227,138197,Card,TXN100047,110970
2023-10-23,IT,Training,North,93800,73939,UPI,TXN100048,-19861
2023-10-19,Operations,Utilities,East,136531,20801,UPI,TXN100049,-115730
2022-07-20,Finance,Marketing,North,69461,114280,Card,TXN100050,44819
2022-12-04,HR,Salaries,South,67848,35064,Bank Transfer,TXN100051,-32784
2022-02-06,Finance,Training,South,34685,11985,Cash,TXN100052,-22700
2022-12-31,HR,Travel,Central,101517,89796,Card,TXN100053,-11721
2021-06-11,Operations,Travel,East,129180,166687,Card,TXN100054,37507
2021-07-21,HR,Travel,East,13480,67466,Bank Transfer,TXN100055,53986
2023-09-23,Finance,Marketing,South,25860,132052,UPI,TXN100056,106192
2021-09-27,IT,Marketing,North,78578,14549,Bank Transfer,TXN100057,-64029
2023-03-27,Sales,Infrastructure,Central,67230,78664,Cash,TXN100058,11434
2022-04-01,Sales,Salaries,West,67026,20801,Cash,TXN100059,-46225
2023-10-14,IT,Infrastructure,South,16564,121901,Bank Transfer,TXN100060,105337
2021-10-23,Marketing,Marketing,South,30012,59380,Card,TXN100061,29368
2022-12-21,Sales,Utilities,Central,64169,56442,UPI,TXN100062,-7727
2021-12-04,Operations,Infrastructure,North,36341,18505,Card,TXN100063,-17836
2023-05-29,Marketing,Training,East,56841,85906,Card,TXN100064,29065
2023-12-13,Operations,Marketing,South,102584,67228,Card,TXN100065,-35356
2023-03-03,Finance,Marketing,Central,53335,88129,Card,TXN100066,34794
2021-08-05,Finance,Utilities,Central,65155,99695,UPI,TXN100067,34540
2023-02-03,Marketing,Utilities,Central,108314,71275,Bank Transfer,TXN100068,-37039
2021-07-07,Marketing,Utilities,East,39527,37621,Cash,TXN100069,-1906
2022-01-15,Marketing,Salaries,South,105466,27538,Cash,TXN100070,-77928
2022-05-08,Marketing,Training,Central,60653,77024,UPI,TXN100071,16371
2023-12-01,HR,Marketing,East,111907,23332,Bank Transfer,TXN100072,-88575
2021-01-15,Marketing,Utilities,North,43057,158234,UPI,TXN100073,115177
2021-03-06,Marketing,Salaries,West,113992,32594,Card,TXN100074,-81398
2022-06-05,Finance,Travel,South,17393,19793,UPI,TXN100075,2400
2022-10-10,Operations,Training,East,85404,28850,Bank Transfer,TXN100076,-56554
2023-12-23,Finance,Travel,West,101956,68438,Cash,TXN100077,-33518
2022-08-16,Sales,Travel,West,94613,31936,UPI,TXN100078,-62677
2022-01-27,HR,Marketing,East,69171,120442,Cash,TXN100079,51271
2022-02-23,HR,Salaries,East,39336,11827,Cash,TXN100080,-27509
2021-10-16,Operations,Salaries,East,22014,66889,Cash,TXN100081,44875
2022-01-14,Marketing,Travel,Central,149446,133306,Bank Transfer,TXN100082,-16140
2021-08-19,Finance,Training,North,101513,54790,Card,TXN100083,-46723
2023-10-15,Sales,Infrastructure,Central,146656,74352,Card,TXN100084,-72304
2021-02-10,Finance,Travel,West,94769,68215,Bank Transfer,TXN100085,-26554
2023-11-18,Marketing,Marketing,West,136092,161382,Card,TXN100086,25290
2021-05-15,Marketing,Travel,West,38782,66207,Card,TXN100087,27425
2021-07-20,IT,Training,East,120463,69643,Card,TXN100088,-50820
2023-02-19,Finance,Training,South,95847,85319,UPI,TXN100089,-10528
2023-07-19,Operations,Travel,Central,98434,81095,Card,TXN100090,-17339
2023-11-23,Finance,Salaries,South,70773,126060,UPI,TXN100091,55287
2023-12-08,HR,Travel,North,24110,50890,Cash,TXN100092,26780
2022-05-18,Sales,Utilities,North,98512,103736,UPI,TXN100093,5224
2022-02-11,Operations,Utilities,Central,15825,146080,Card,TXN100094,130255
2023-03-16,IT,Infrastructure,West,144560,67544,Bank Transfer,TXN100095,-77016
2021-04-09,Sales,Marketing,North,77431,118930,Cash,TXN100096,41499
2022-11-15,Sales,Marketing,South,78444,162348,Cash,TXN100097,83904
2022-12-27,HR,Salaries,South,76947,118079,UPI,TXN100098,41132
2023-08-19,HR,Marketing,East,146529,132412,Bank Transfer,TXN100099,-14117
2022-09-05,HR,Infrastructure,West,48216,61044,Card,TXN100100,12828
2022-10-05,Operations,Utilities,East,103230,27184,UPI,TXN100101,-76046
2023-10-26,Finance,Salaries,Central,18847,29633,UPI,TXN100102,10786
2022-05-18,Sales,Training,North,24658,33368,Cash,TXN100103,8710
2023-02-06,Finance,Utilities,East,136878,35045,UPI,TXN100104,-101833
2022-02-02,Finance,Infrastructure,East,39676,77919,Bank Transfer,TXN100105,38243
2023-05-21,HR,Salaries,Central,10645,117390,UPI,TXN100106,106745
2023-03-06,Finance,Travel,South,107476,99881,UPI,TXN100107,-7595
2022-01-28,Sales,Marketing,South,88236,69261,Bank Transfer,TXN100108,-18975
2021-07-26,Sales,Infrastructure,Central,28618,63464,UPI,TXN100109,34846
2023-11-05,Marketing,Salaries,South,71859,109454,Card,TXN100110,37595
2023-06-11,IT,Utilities,Central,68827,135046,UPI,TXN100111,66219
2023-05-14,Operations,Salaries,South,107389,159814,Card,TXN100112,52425
2023-01-13,Finance,Travel,Central,135114,162322,Bank Transfer,TXN100113,27208
2022-07-18,Operations,Infrastructure,South,106726,141649,Card,TXN100114,34923
2023-10-18,Operations,Salaries,East,138077,143377,Bank Transfer,TXN100115,5300
2021-04-06,Operations,Training,East,143034,61202,Card,TXN100116,-81832
2022-04-30,Marketing,Infrastructure,South,138373,100276,Card,TXN100117,-38097
2021-08-19,Operations,Infrastructure,Central,136076,154023,Bank Transfer,TXN100118,17947
2023-01-19,Marketing,Utilities,East,72397,158604,Bank Transfer,TXN100119,86207
2022-06-25,Sales,Marketing,North,79951,86138,Card,TXN100120,6187
2023-11-26,Finance,Training,South,65770,96074,Bank Transfer,TXN100121,30304
2022-06-09,Marketing,Travel,North,41545,48828,Cash,TXN100122,7283
2022-08-01,IT,Salaries,North,18705,26330,UPI,TXN100123,7625
2022-11-13,Operations,Marketing,West,20704,152314,Card,TXN100124,131610
2022-07-11,IT,Utilities,North,38671,42340,Cash,TXN100125,3669
2023-10-10,Sales,Marketing,North,31203,102468,Cash,TXN100126,71265
2022-10-08,Sales,Infrastructure,West,91927,68989,Cash,TXN100127,-22938
2023-03-07,HR,Infrastructure,West,130503,21823,Bank Transfer,TXN100128,-108680
2023-11-18,Operations,Travel,West,102115,90119,UPI,TXN100129,-11996
2021-07-09,HR,Training,Central,22451,125065,Card,TXN100130,102614
2022-09-25,IT,Salaries,West,121372,77604,UPI,TXN100131,-43768
2022-09-20,Finance,Salaries,Central,130102,16281,Card,TXN100132,-113821
2023-08-31,HR,Utilities,South,106613,79734,UPI,TXN100133,-26879
2022-12-11,Sales,Travel,Central,85856,95951,UPI,TXN100134,10095
2022-10-11,Operations,Salaries,South,68642,49051,Cash,TXN100135,-19591
2021-11-14,IT,Training,West,97656,100215,Bank Transfer,TXN100136,2559
2022-11-15,Marketing,Infrastructure,West,44612,138226,Card,TXN100137,93614
2022-10-26,Sales,Travel,South,128299,65283,Card,TXN100138,-63016
2022-03-18,Marketing,Marketing,East,139848,67309,Card,TXN100139,-72539
2022-07-18,Finance,Travel,Central,97606,151420,Cash,TXN100140,53814
2023-08-10,Operations,Travel,North,108983,71335,Cash,TXN100141,-37648
2022-11-30,Finance,Training,West,17190,51124,Cash,TXN100142,33934
2021-04-23,Finance,Training,Central,39617,90509,Cash,TXN100143,50892
2021-01-02,Operations,Salaries,Central,119319,135211,Cash,TXN100144,15892
2022-10-04,Operations,Utilities,West,106931,132960,UPI,TXN100145,26029
2021-08-08,Marketing,Utilities,South,10009,93558,Card,TXN100146,83549
2023-05-05,Finance,Training,West,124291,60466,UPI,TXN100147,-63825
2022-01-20,IT,Salaries,Central,90739,32459,Cash,TXN100148,-58280
2023-12-13,Marketing,Salaries,East,63368,53076,Bank Transfer,TXN100149,-10292
2022-12-31,Operations,Salaries,South,85914,18080,Cash,TXN100150,-67834
2021-09-04,Sales,Training,West,58847,28168,Cash,TXN100151,-30679
2023-04-16,Marketing,Utilities,North,85755,91097,Cash,TXN100152,5342
2021-07-22,HR,Salaries,West,105491,39892,Card,TXN100153,-65599
2021-05-03,IT,Training,Central,108347,142037,Card,TXN100154,33690
2022-02-05,Marketing,Marketing,Central,50094,40438,Bank Transfer,TXN100155,-9656
2023-02-06,Operations,Marketing,North,137791,147565,Card,TXN100156,9774
2021-10-21,Operations,Infrastructure,South,136489,111467,Cash,TXN100157,-25022
2021-10-07,IT,Marketing,Central,103893,166963,Bank Transfer,TXN100158,63070
2023-06-03,HR,Travel,South,50544,48955,Bank Transfer,TXN100159,-1589
2021-07-17,Marketing,Infrastructure,South,102398,119010,Bank Transfer,TXN100160,16612
2023-09-09,Marketing,Marketing,West,57660,155517,Cash,TXN100161,97857
2023-01-22,Finance,Travel,South,83736,41625,Card,TXN100162,-42111
2021-05-24,Sales,Marketing,Central,81168,91260,UPI,TXN100163,10092
2022-09-01,Operations,Training,Central,44630,33393,Card,TXN100164,-11237
2021-07-06,Marketing,Travel,East,14711,166755,UPI,TXN100165,152044
2022-04-09,Marketing,Salaries,South,12457,29399,Cash,TXN100166,16942
2022-10-22,Marketing,Training,East,86732,159108,Card,TXN100167,72376
2023-02-03,HR,Travel,West,88375,125991,Cash,TXN100168,37616
2023-08-13,Sales,Training,East,49467,57941,Cash,TXN100169,8474
2022-02-07,Marketing,Salaries,South,17157,34656,Bank Transfer,TXN100170,17499
2021-05-27,IT,Travel,Central,120357,165689,Card,TXN100171,45332
2023-05-14,Operations,Travel,West,12714,108606,Bank Transfer,TXN100172,95892
2022-05-04,Finance,Training,South,37217,107377,Card,TXN100173,70160
2023-07-18,IT,Marketing,West,50132,116527,Cash,TXN100174,66395
2022-07-05,Operations,Travel,North,106653,39766,Bank Transfer,TXN100175,-66887
2021-12-04,HR,Marketing,South,90792,81097,Cash,TXN100176,-9695
2023-05-22,Sales,Travel,North,66371,138929,UPI,TXN100177,72558
2022-10-03,Sales,Utilities,East,66788,118864,Cash,TXN100178,52076
2022-04-18,Operations,Infrastructure,South,19583,157338,UPI,TXN100179,137755
2021-05-31,IT,Marketing,North,52042,143417,UPI,TXN100180,91375
